Filename,Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId
/home/krishna_warrior/Desktop/dataset/00009/00000_00000.ppm,34,33,6,5,29,28,9
/home/krishna_warrior/Desktop/dataset/00009/00000_00001.ppm,34,34,6,6,29,29,9
/home/krishna_warrior/Desktop/dataset/00009/00000_00002.ppm,35,34,6,5,30,29,9
/home/krishna_warrior/Desktop/dataset/00009/00000_00003.ppm,35,35,5,5,30,30,9
/home/krishna_warrior/Desktop/dataset/00009/00000_00004.ppm,36,36,6,6,31,31,9
/home/krishna_warrior/Desktop/dataset/00009/00000_00005.ppm,36,36,6,6,31,31,9
/home/krishna_warrior/Desktop/dataset/00009/00001_00000.ppm,26,27,5,6,20,21,9
/home/krishna_warrior/Desktop/dataset/00009/00001_00001.ppm,26,27,5,6,21,22,9
/home/krishna_warrior/Desktop/dataset/00009/00001_00002.ppm,26,27,5,6,21,22,9
/home/krishna_warrior/Desktop/dataset/00009/00001_00003.ppm,28,27,6,6,23,22,9
/home/krishna_warrior/Desktop/dataset/00009/00001_00004.ppm,29,26,6,5,23,21,9
/home/krishna_warrior/Desktop/dataset/00009/00001_00005.ppm,29,28,5,5,23,22,9
/home/krishna_warrior/Desktop/dataset/00009/00002_00000.ppm,37,36,5,5,32,31,9
/home/krishna_warrior/Desktop/dataset/00009/00002_00001.ppm,38,38,5,6,33,33,9
/home/krishna_warrior/Desktop/dataset/00009/00002_00002.ppm,39,38,6,6,34,33,9
/home/krishna_warrior/Desktop/dataset/00009/00002_00003.ppm,40,39,6,6,34,33,9
/home/krishna_warrior/Desktop/dataset/00009/00002_00004.ppm,40,40,5,6,34,34,9
/home/krishna_warrior/Desktop/dataset/00009/00002_00005.ppm,40,40,5,6,35,35,9
/home/krishna_warrior/Desktop/dataset/00009/00003_00000.ppm,26,27,5,6,21,22,9
/home/krishna_warrior/Desktop/dataset/00009/00003_00001.ppm,26,26,5,5,21,21,9
/home/krishna_warrior/Desktop/dataset/00009/00003_00002.ppm,28,28,6,6,22,22,9
/home/krishna_warrior/Desktop/dataset/00009/00003_00003.ppm,29,29,6,6,24,24,9
/home/krishna_warrior/Desktop/dataset/00009/00003_00004.ppm,29,29,6,6,24,24,9
/home/krishna_warrior/Desktop/dataset/00009/00003_00005.ppm,29,30,5,6,24,25,9
/home/krishna_warrior/Desktop/dataset/00009/00004_00000.ppm,27,26,6,6,21,21,9
/home/krishna_warrior/Desktop/dataset/00009/00004_00001.ppm,26,27,5,6,21,22,9
/home/krishna_warrior/Desktop/dataset/00009/00004_00002.ppm,27,27,6,6,22,22,9
/home/krishna_warrior/Desktop/dataset/00009/00004_00003.ppm,27,27,5,5,21,21,9
/home/krishna_warrior/Desktop/dataset/00009/00004_00004.ppm,29,29,6,6,24,24,9
/home/krishna_warrior/Desktop/dataset/00009/00004_00005.ppm,29,28,6,5,24,23,9
/home/krishna_warrior/Desktop/dataset/00009/00005_00000.ppm,25,27,5,6,20,21,9
/home/krishna_warrior/Desktop/dataset/00009/00005_00001.ppm,27,26,6,5,22,21,9
/home/krishna_warrior/Desktop/dataset/00009/00005_00002.ppm,27,29,5,6,22,23,9
/home/krishna_warrior/Desktop/dataset/00009/00005_00003.ppm,28,28,5,5,23,23,9
/home/krishna_warrior/Desktop/dataset/00009/00005_00004.ppm,29,30,6,6,24,24,9
/home/krishna_warrior/Desktop/dataset/00009/00005_00005.ppm,29,30,5,6,24,25,9
/home/krishna_warrior/Desktop/dataset/00009/00006_00000.ppm,27,27,5,5,22,22,9
/home/krishna_warrior/Desktop/dataset/00009/00006_00001.ppm,28,28,5,5,23,23,9
/home/krishna_warrior/Desktop/dataset/00009/00006_00002.ppm,28,29,5,6,23,24,9
/home/krishna_warrior/Desktop/dataset/00009/00006_00003.ppm,28,28,5,5,23,23,9
/home/krishna_warrior/Desktop/dataset/00009/00006_00004.ppm,28,28,5,5,23,23,9
/home/krishna_warrior/Desktop/dataset/00009/00006_00005.ppm,30,28,6,5,24,23,9
/home/krishna_warrior/Desktop/dataset/00009/00007_00000.ppm,25,26,5,5,20,21,9
/home/krishna_warrior/Desktop/dataset/00009/00007_00001.ppm,26,27,5,5,21,22,9
/home/krishna_warrior/Desktop/dataset/00009/00007_00002.ppm,28,29,5,6,23,24,9
/home/krishna_warrior/Desktop/dataset/00009/00007_00003.ppm,29,29,5,5,24,24,9
/home/krishna_warrior/Desktop/dataset/00009/00007_00004.ppm,31,31,6,6,26,26,9
/home/krishna_warrior/Desktop/dataset/00009/00007_00005.ppm,31,31,6,6,26,26,9
/home/krishna_warrior/Desktop/dataset/00009/00008_00000.ppm,27,26,6,5,21,20,9
/home/krishna_warrior/Desktop/dataset/00009/00008_00001.ppm,26,26,5,5,21,21,9
/home/krishna_warrior/Desktop/dataset/00009/00008_00002.ppm,28,28,6,6,23,23,9
/home/krishna_warrior/Desktop/dataset/00009/00008_00003.ppm,27,28,5,6,22,23,9
/home/krishna_warrior/Desktop/dataset/00009/00008_00004.ppm,28,28,5,5,23,23,9
/home/krishna_warrior/Desktop/dataset/00009/00008_00005.ppm,28,28,5,5,23,23,9
/home/krishna_warrior/Desktop/dataset/00041/00000_00000.ppm,29,29,6,5,24,24,41
/home/krishna_warrior/Desktop/dataset/00041/00000_00001.ppm,29,29,6,5,24,24,41
/home/krishna_warrior/Desktop/dataset/00041/00000_00002.ppm,29,31,6,6,24,26,41
/home/krishna_warrior/Desktop/dataset/00041/00000_00003.ppm,30,30,6,5,25,25,41
/home/krishna_warrior/Desktop/dataset/00041/00000_00004.ppm,30,30,5,5,25,25,41
/home/krishna_warrior/Desktop/dataset/00041/00000_00005.ppm,30,31,5,5,25,26,41
/home/krishna_warrior/Desktop/dataset/00041/00000_00006.ppm,32,31,5,5,26,26,41
/home/krishna_warrior/Desktop/dataset/00041/00001_00000.ppm,26,28,5,5,21,23,41
/home/krishna_warrior/Desktop/dataset/00041/00001_00001.ppm,27,28,6,5,22,23,41
/home/krishna_warrior/Desktop/dataset/00041/00001_00002.ppm,27,29,5,5,22,24,41
/home/krishna_warrior/Desktop/dataset/00041/00001_00003.ppm,27,29,5,6,22,24,41
/home/krishna_warrior/Desktop/dataset/00041/00001_00004.ppm,28,28,6,5,23,23,41
/home/krishna_warrior/Desktop/dataset/00041/00001_00005.ppm,27,29,5,6,22,24,41
/home/krishna_warrior/Desktop/dataset/00041/00001_00006.ppm,28,29,6,6,23,24,41
/home/krishna_warrior/Desktop/dataset/00041/00002_00000.ppm,30,33,5,6,25,28,41
/home/krishna_warrior/Desktop/dataset/00041/00002_00001.ppm,32,33,6,5,26,27,41
/home/krishna_warrior/Desktop/dataset/00041/00002_00002.ppm,31,33,5,5,26,28,41
/home/krishna_warrior/Desktop/dataset/00041/00002_00003.ppm,31,33,5,5,26,28,41
/home/krishna_warrior/Desktop/dataset/00041/00002_00004.ppm,32,33,6,5,27,28,41
/home/krishna_warrior/Desktop/dataset/00041/00002_00005.ppm,33,35,5,6,28,30,41
/home/krishna_warrior/Desktop/dataset/00041/00002_00006.ppm,33,34,5,5,28,29,41
/home/krishna_warrior/Desktop/dataset/00041/00003_00000.ppm,36,38,5,6,31,33,41
/home/krishna_warrior/Desktop/dataset/00041/00003_00001.ppm,37,39,5,6,32,34,41
/home/krishna_warrior/Desktop/dataset/00041/00003_00002.ppm,38,38,6,5,33,33,41
/home/krishna_warrior/Desktop/dataset/00041/00003_00003.ppm,39,40,5,5,34,35,41
/home/krishna_warrior/Desktop/dataset/00041/00003_00004.ppm,41,41,6,5,36,36,41
/home/krishna_warrior/Desktop/dataset/00041/00003_00005.ppm,41,41,6,5,36,36,41
/home/krishna_warrior/Desktop/dataset/00041/00003_00006.ppm,41,43,5,6,36,38,41
/home/krishna_warrior/Desktop/dataset/00041/00004_00000.ppm,26,25,6,5,21,20,41
/home/krishna_warrior/Desktop/dataset/00041/00004_00001.ppm,27,27,6,6,22,22,41
/home/krishna_warrior/Desktop/dataset/00041/00004_00002.ppm,27,28,5,6,22,23,41
/home/krishna_warrior/Desktop/dataset/00041/00004_00003.ppm,27,28,5,6,22,23,41
/home/krishna_warrior/Desktop/dataset/00041/00004_00004.ppm,29,29,5,6,23,23,41
/home/krishna_warrior/Desktop/dataset/00041/00004_00005.ppm,30,28,6,5,25,23,41
/home/krishna_warrior/Desktop/dataset/00041/00004_00006.ppm,31,30,6,5,25,25,41
/home/krishna_warrior/Desktop/dataset/00041/00005_00000.ppm,27,25,6,5,22,20,41
/home/krishna_warrior/Desktop/dataset/00041/00005_00001.ppm,28,26,6,5,22,20,41
/home/krishna_warrior/Desktop/dataset/00041/00005_00002.ppm,28,26,6,5,23,21,41
